sasija;Znamka vozila;Leto izdelave;Število lastnikov;Barva;Vrsta goriva;Oznaka motorja;Moč;Prostornina;EURO oznaka;Prva registracija;Prve registracija (SI);Status/starost
WB10E2104L6D12657;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1BB0A0F20538914;RENAULT RENAULT / CLIO RTA 1,2 5V;1999;4;kovinski - MODRA - TEMNA;Bencin;D7FD7;43 kW;1149 ccm;EURO 2;1999-09-06;1999-09-06;Fizična oseba 20 let
SAJBB4BN0HCY49382;JAGUAR JAGUAR XF / 2.0 iD4 / 132 / AUT.;2017;1;navaden - ČRNA - SVETLA;Dizel;204DTD;132 kW;1999 ccm;EURO 6;2017-07-04;2017-07-04;Pravna oseba
JF28E2039098;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WAUZZZ8E65A555129;AUDI A4 / AVANT / 1.9 / TDI;2005;3;kovinski - ČRNA - SREDNJA;Dizel;BKE;85 kW;1896 ccm;EURO 4;2005-05-27;2007-05-17 UVOŽEN;Pravna oseba
VF33ENFUB82438223;PEUGEOT 307 / BREAK 1.6 / i;2002;3;kovinski - RDEČA - TEMNA;Bencin/Utek. naft. plin;NFU;80 kW;1587 ccm;EURO 3;2002-07-16;2002-07-16;Fizična oseba 35 let
WP0ZZZ97ZHL123507;PORSCHE PANAMERA 4S / / AUT.;None;1;navaden - BELA - SVETLA;Bencin;CSZ;324 kW;2894 ccm;EURO 6;2017-04-11;2020-06-17 UVOŽEN;Fizična oseba 38 let
WDB9340321L361825;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WDD246212J262108;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1RFB00564061149;RENAULT MEGANE / 1.5 / DCI;None;1;kovinski - SIVA - SVETLA;Dizel;K9K U8;85 kW;1461 ccm;EURO 6;2019-12-02;2019-12-02;Pravna oseba
WAUZZZ4F38N041265;AUDI A6 / 2.7 / TDI V-AUT.;2007;2;kovinski - ČRNA - TEMNA;Dizel;BPP;132 kW;2698 ccm;EURO 4;2007-09-18;2010-02-15 UVOŽEN;Pravna oseba
VF15RSN0A57534098;RENAULT CLIO / 1.2 / 16V;None;2;kovinski - SIVA - TEMNA;Bencin;D4F D7;54 kW;1149 ccm;EURO 6;2017-03-23;2017-03-23;Fizična oseba 70 let
WAUZZZ4L67D055025;AUDI Q7 / 3.0 / TDI Q AUT.;2006;2;kovinski - SIVA - SVETLA;Dizel;BUG;171 kW;2967 ccm;EURO 4;2006-11-02;2006-11-02;Pravna oseba
WVWZZZ3CZ8P119516;VOLKSWAGEN PASSAT / 2.0 / TDI;2009;2;kovinski - MODRA - TEMNA;Dizel;CBA;103 kW;1968 ccm;EURO 4;2009-03-10;2009-03-10;Pravna oseba
L82TCAP96F1201852;BAOTIAN BT49QT-9T /;None;2;kovinski - RDEČA - SREDNJA;Bencin;BT139QMA;2 kW;49 ccm;ni podatka;2015-05-30;2015-05-30;Fizična oseba 54 let
WVWZZZAUZDW126921;VOLKSWAGEN GOLF / 1.2 / TSI;None;3;navaden - RDEČA - TEMNA;Bencin;CJZ;77 kW;1197 ccm;EURO 5;2013-04-10;2013-04-10;Pravna oseba
WBAFF41060L065994;BMW X5 / 3.0 / d AUT.;2007;3;kovinski - MODRA - TEMNA;Dizel;306D3;173 kW;2993 ccm;EURO 4;2007-10-15;2012-06-14 UVOŽEN;Pravna oseba
WDD2221731A519065;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WAUZZZ4L99D004850;AUDI Q7 / 3.0 / TDI Q AUT.;2008;1;kovinski - SIVA - TEMNA;Dizel;CAS;176 kW;2967 ccm;EURO 4;2008-07-09;2008-07-09;Pravna oseba
Z29000UT730666596;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WAUZZZ8K4AA176193;AUDI A4 AVANT / 2.0 / TDI Q;2010;1;kovinski - SIVA - TEMNA;Dizel;CAH;125 kW;1968 ccm;EURO 5;2010-05-24;2010-05-24;Pravna oseba
SJNBEAP11U0513831;NISSAN PRIMERA / 1.8;2000;4;kovinski - SIVA - SVETLA;Bencin;QG18;84 kW;1769 ccm;EURO 3;2001-02-14;2001-02-14;Pravna oseba
WBAXB91050DX41309;BMW 525 / TOURING / d xDrive AUT.;None;1;kovinski - SIVA - SREDNJA;None;None;/ kW;/ ccm;EURO 5;2012-06-14;2012-06-14;Pravna oseba
ZFA19900001153977;FIAT GRANDE PUNTO / 1.4 /;2007;2;navaden - BELA - SREDNJA;Bencin;350A1000;57 kW;1368 ccm;EURO 4;2007-03-31;2007-03-31;Fizična oseba 32 let
TMBZZZ1UZV2028697;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZJM57000057004577;MALAGUTI 57 WARRIOR;2002;2;kovinski - MODRA - TEMNA;Bencin;KYML12;8 kW;125 ccm;ni podatka;2003-09-17;2003-09-17;Fizična oseba 68 let
VF1B4040506357151;RENAULT R5 / D CAMPUS;1991;4;kovinski - SIVA - TEMNA;Dizel;F8MG730;40 kW;1595 ccm;EURO 0;1991-09-27;1991-09-27;Fizična oseba 68 let
ZFA3120000J998673;FIAT 500 / 1.2 /;None;1;navaden - BELA - SREDNJA;Bencin;169A4000;51 kW;1242 ccm;EURO 6;2018-06-09;2019-04-30 UVOŽEN;Fizična oseba 27 let
VF1RFB00955181268;RENAULT MEGANE / 1.6 / 16V AUT.;None;1;kovinski - MODRA - SREDNJA;Bencin;M5M B4;151 kW;1618 ccm;EURO 6;2016-06-07;2016-06-07;Pravna oseba
UU1HSDCJ654030864;DACIA DUSTER / 1.5 / DCI;None;1;navaden - BELA - SREDNJA;Dizel;K9K E6;66 kW;1461 ccm;EURO 6;2015-11-05;2015-11-05;Fizična oseba 63 let
VF15RB20A60560029;RENAULT CLIO / 0.9 / TCE;None;1;kovinski - RDEČA - SREDNJA;Bencin;H4B B4;66 kW;898 ccm;EURO 6;2018-08-09;2018-08-09;Fizična oseba 48 let
ZAPMA210000011312;PIAGGIO BEVERLY / 300 ABS;None;1;navaden - ČRNA - SREDNJA;Bencin;MA21M;15 kW;278 ccm;ni podatka;2017-06-05;2017-06-05;Fizična oseba 48 let
VF15RBF0A61382355;RENAULT CLIO / 1.5 / DCI;None;1;navaden - BELA - SREDNJA;Dizel;K9K E6;55 kW;1461 ccm;EURO 6;2019-05-31;2019-05-31;Pravna oseba
VF1CB1L0F25023914;RENAULT CLIO / 1.4;2001;3;kovinski - RDEČA - TEMNA;Bencin;K4JC7;72 kW;1390 ccm;EURO 3;2001-09-14;2001-09-14;Fizična oseba 65 let
VF1JL000463248611;RENAULT TRAFIC / 1.6 / DCI;None;1;navaden - BELA - SREDNJA;Dizel;R9M H4;89 kW;1598 ccm;EURO 6;2019-06-10;2019-06-10;Pravna oseba
UU1J9220261920197;DACIA LODGY / 1.6 / 16V;None;1;kovinski - SIVA - TEMNA;Bencin;H4M D7;75 kW;1598 ccm;EURO 6;2019-04-18;2019-04-18;Pravna oseba
UU1J9220461920198;DACIA LODGY / 1.6 / 16V;None;1;kovinski - MODRA - SREDNJA;Bencin;H4M D7;75 kW;1598 ccm;EURO 6;2019-05-21;2019-05-21;Pravna oseba
VF1JL000161442914;RENAULT TRAFIC / 1.6 / DCI;None;1;navaden - BELA - SREDNJA;Dizel;R9M D4;107 kW;1598 ccm;EURO 6;2019-04-16;2019-04-16;Pravna oseba
ZFA3120000JB77784;FIAT 500 / 1.2 /;None;1;kovinski - CRNA - TEMNA;Bencin;169A4000;51 kW;1242 ccm;EURO 6;2020-06-02;2020-06-02;Fizična oseba 31 let
0006627;PIAGIO BRAVO;1993;1;navaden - MODRA - SREDNJA;Mešanica;None;1 kW;49 ccm;ni podatka;2017-06-14;2017-06-14;Fizična oseba 63 let
VF1RFB00163944624;RENAULT MEGANE / 1.5 / DCI AUT.;None;1;kovinski - MODRA - SREDNJA;Dizel;K9K U8;85 kW;1461 ccm;EURO 6;2020-06-12;2020-06-12;Fizična oseba 46 let
ZAPM6720000007674;PIAGGIO LIBERTY 150 /;2011;2;navaden - BELA - SREDNJA;Bencin;M672M ali M38BM;8 kW;151 ccm;ni podatka;2011-04-01;2011-04-01;Fizična oseba 46 let
YV1BZ97C6G1252899;VOLVO XC 70/ 2.0 / TD AUT. AWD;None;1;kovinski - RJAVA - SREDNJA;Dizel;D5244T20;162 kW;2400 ccm;EURO 6;2016-01-19;2016-01-19;Pravna oseba
VF1KT12C650536018;RENAULT LAGUNA / GRANDTOUR 1.5 / DCI;None;1;kovinski - SIVA - SREDNJA;Dizel;K9K R8;81 kW;1461 ccm;EURO 5;2014-03-12;2018-08-02 UVOŽEN;Pravna oseba
WBAVC31070PS41748;BMW 320;2007;3;kovinski - SIVA - SVETLA;Dizel;204D4;120 kW;1995 ccm;EURO 4;2007-05-07;2007-05-07;Pravna oseba
ZFA141A0001419131;FIAT PANDA / 900 / i.e.;1998;1;navaden - ZELENA - SREDNJA;Bencin;1170A1.046;29 kW;899 ccm;EURO 0;1998-01-02;2017-06-15 UVOŽEN;Pravna oseba
WVWZZZ1KZAW287700;VOLKSWAGEN GOLF / 1.6 / TDI;2010;1;kovinski - SIVA - SVETLA;Dizel;CAY;66 kW;1598 ccm;EURO 5;2010-04-17;2010-04-17;Pravna oseba
ZAPC4510000033726;PIAGGIO NRG POWER 50 D/D /;2008;1;navaden - ČRNA - SREDNJA;Bencin;C451M;3 kW;49 ccm;ni podatka;2008-07-02;2008-07-02;Fizična oseba 63 let
WDC1569081J398818;MERCEDES BENZ GLA / 200 / d AUT.;None;1;navaden - ČRNA - TEMNA;Dizel;651.930;100 kW;2143 ccm;EURO 6;2017-07-25;2017-07-25;Pravna oseba
W0L0AHM756G061967;OPEL ZAFIRA / 1.9 / DT 16V;2006;3;kovinski - SIVA - SVETLA;Dizel;Z19DT;74 kW;1910 ccm;EURO 4;2006-02-10;2009-12-18 UVOŽEN;Fizična oseba 75 let
WF0DXXTTGDGT36393;FORD TRANSIT / 350 L2H1 2.0 96 ZP SC DRW brez kesona;2017;1;navaden - BELA - SVETLA;Dizel;YMR6;96 kW;1995 ccm;EURO 6;2017-04-19;2017-04-19;Pravna oseba
LXMAZA101KXA35469;SYM SYMPHONY SR / 25;None;1;navaden - CRNA - TEMNA;Bencin;XS1P37QMA-2A;2 kW;49 ccm;ni podatka;2019-10-30;2019-10-30;Fizična oseba 62 let
TMBJG7NE5H0164580;ŠKODA OCTAVIA / COMBI 1.6 / TDI AUT.;None;1;kovinski - SIVA - SREDNJA;Dizel;CXX;81 kW;1598 ccm;EURO 6;2017-04-18;2020-05-27 UVOŽEN;Pravna oseba
VF15RB20A60250987;RENAULT CLIO / 0.9 / TCE;None;1;kovinski - ČRNA - SREDNJA;Bencin;H4B B4;66 kW;898 ccm;EURO 6;2018-05-23;2018-05-23;Pravna oseba
VF1R8700362366412;RENAULT CAPTUR / 0.9 / TCE;None;1;kovinski - BELA - SREDNJA;Bencin;H4B B4;66 kW;898 ccm;EURO 6;2019-03-01;2019-03-01;Fizična oseba 66 let
JKAER650CDDA60808;KAWASAKI ER-6n ABS /;2011;2;navaden - ZELENA - SVETLA;Bencin;ER650AE;53 kW;649 ccm;ni podatka;2011-04-20;2011-04-20;Fizična oseba 30 let
LD5YY31CBGG000021;YIYING CLASSIC 50 /;None;1;kovinski - BELA - SREDNJA;Bencin;BZ139QMB;2 kW;49 ccm;ni podatka;2017-05-18;2017-05-18;Fizična oseba 37 let
VF1VB000162367081;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZD4VFD0038S026608;APRILIA SR 50 R /;2008;1;navaden - SIVA - SVETLA;Bencin;C364M;2 kW;49 ccm;ni podatka;2008-07-02;2008-07-02;Fizična oseba 45 let
WAUZZZ4L67D055025;AUDI Q7 / 3.0 / TDI Q AUT.;2006;2;kovinski - SIVA - SVETLA;Dizel;BUG;171 kW;2967 ccm;EURO 4;2006-11-02;2006-11-02;Pravna oseba
WKESD000000719380;KRONE SD COOL LINER /;None;1;navaden - BELA - SREDNJA;Ni goriva;None;-1 kW;-1 ccm;ni podatka;2016-09-29;2016-09-29;Pravna oseba
XLRTEH4300G186240;DAF FT XF.480 / A;None;1;navaden - BELA - TEMNA;Dizel;MX-13 355 H2;355 kW;12902 ccm;EURO 6;2017-12-11;2017-12-11;Pravna oseba
WV1ZZZ7HZCH114459;VOLKSWAGEN TRANSPORTER K+ 2.0 / TDI;2012;1;navaden - RDEČA - TEMNA;Dizel;CAA;84 kW;1968 ccm;EURO 5;2012-09-21;2012-09-21;Pravna oseba
ZAPC5330000003676;PIAGGIO VESPA PRIMAVERA 50 4T / 25;None;1;navaden - BELA - SREDNJA;Bencin;C537M;1 kW;50 ccm;ni podatka;2019-10-17;2019-10-17;Fizična oseba 21 let
WDB9066331S672684;MERCEDES BENZ SPRINTER 310 / CDI;None;1;navaden - BELA - SREDNJA;Dizel;651.956;70 kW;2143 ccm;EURO 5;2013-03-01;2017-12-06 UVOŽEN;Pravna oseba
WBANC51000CN39495;BMW 525 / D AUT.;2006;1;kovinski - MODRA - TEMNA;Dizel;256D2;130 kW;2497 ccm;EURO 4;2006-01-27;2009-08-20 UVOŽEN;Fizična oseba 52 let
YV2RT60A5HB838427;VOLVO FH /;None;1;navaden - BELA - SREDNJA;Dizel;D13K540 EUVI;405 kW;12777 ccm;EURO 6;2017-10-04;2017-10-04;Fizična oseba
WSM00000005238130;SCHMITZ CARGOBULL SKO 24 /;None;1;navaden - BELA - SREDNJA;Ni goriva;None;-1 kW;-1 ccm;ni podatka;2019-11-20;2019-11-20;Pravna oseba
LXMAE05WXHX123797;SYM ORBIT II 50 / 25;None;1;kovinski - BELA - SVETLA;Bencin;XS1P37QMA-2;1 kW;49 ccm;ni podatka;2017-12-11;2017-12-11;Fizična oseba 66 let
VF15RB20A55179098;RENAULT CLIO / 0.9 / TCE;None;1;kovinski - ČRNA - SREDNJA;Bencin;H4B B4;66 kW;898 ccm;EURO 6;2016-10-27;2016-10-27;Fizična oseba 59 let
YV2ASW0A18B511748;VOLVO FH 42 TB / 5-38-S;2008;1;navaden - BELA - SVETLA;Dizel;D13A480EC06B;353 kW;12770 ccm;EURO 5;2008-06-13;2008-06-13;Pravna oseba
SJNFFAJ11U2602728;NISSAN QASHQAI / 1.3 / AUT.;None;1;kovinski - SIVA - TEMNA;Bencin;HR13;117 kW;1332 ccm;EURO 6;2019-09-18;2019-09-18;Fizična oseba 71 let
WBAUR11020VN72408;BMW 118 / COUPE / d;None;1;kovinski - SIVA - SREDNJA;Dizel;N47D20C;105 kW;1995 ccm;EURO 5;2011-06-01;2019-08-21 UVOŽEN;Fizična oseba 32 let
L5YPACBA1J1144485;ZNEN CRUISE /;None;1;kovinski - BELA - SREDNJA;Bencin;BN139QMB;1 kW;49 ccm;ni podatka;2019-04-30;2019-04-30;Fizična oseba 76 let
ZAPM3810300011704;PIAGGIO LIBERTY 125 /;2006;1;navaden - BELA - SREDNJA;Bencin;M381M;7 kW;124 ccm;ni podatka;2006-01-16;2014-03-14 UVOŽEN;Fizična oseba 27 let
WVWZZZAUZHP310359;VOLKSWAGEN GOLF / 1.6 / TDI AUT.;None;1;kovinski - SIVA - SREDNJA;Dizel;DDY;85 kW;1598 ccm;EURO 6;2017-04-03;2019-11-11 UVOŽEN;Pravna oseba
VF15RSN0A60832591;RENAULT CLIO / 1.2 / 16V;None;1;kovinski - SIVA - SVETLA;Bencin;D4F D7;54 kW;1149 ccm;EURO 6;2018-10-02;2018-10-02;Fizična oseba 59 let
WAUZZZ8T6DA012800;AUDI A5 / 2.0 / TDI AUT.;2012;1;navaden - BELA - SREDNJA;Dizel;CGL;120 kW;1968 ccm;EURO 5;2012-08-06;2013-05-06 UVOŽEN;Pravna oseba
WAUZZZ4L78D005848;AUDI Q7 / 3.0 / TDI Q AUT.;2007;1;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 4;2007-08-27;2007-08-27;Pravna oseba
TMBJK9NE1E0136149;ŠKODA OCTAVIA / COMBI 2.0 / TDI;2014;1;navaden - BELA - SREDNJA;Dizel;CUP;135 kW;1968 ccm;EURO 5;2014-03-31;2014-03-31;Pravna oseba
L4H5FA201K6000148;LONGJIA FIREFOX / 25;None;1;navaden - CRNA - TEMNA;Bencin;LJ1P37QMB-2;1 kW;49 ccm;ni podatka;2019-07-22;2019-07-22;Fizična oseba 18 let
VF1557K0F16589190;RENAULT CLIO / 1.2 FIDJI;1997;4;navaden - RDEČA - SREDNJA;Bencin;D7FA730;43 kW;1149 ccm;EURO 2;1997-07-25;1997-07-25;Pravna oseba
VSSZZZ6KZ1R049219;SEAT SEAT / IBIZA / 1.4 /;2000;1;kovinski - RDEČA - TEMNA;None;None;/ kW;/ ccm;EURO 2;2000-07-14;2000-07-14;Fizična oseba 57 let
VSSZZZ6KZTR065764;SEAT CORDOBA / 1.4 GLX;1996;1;kovinski - SIVA - SVETLA;Bencin;ABD;44 kW;1391 ccm;EURO 1;1996-02-23;1996-02-23;Pravna oseba
ZFA3120000JB78379;FIAT 500 / 1.2 /;None;1;navaden - BELA - SREDNJA;Bencin;169A4000;51 kW;1242 ccm;EURO 6;2019-08-06;2019-08-06;Fizična oseba 42 let
VF12R5A1H50412124;RENAULT CAPTUR / 0.9 / TCE;2014;1;kovinski - ORANŽNA - SREDNJA;Bencin;H4B A4;66 kW;898 ccm;EURO 5;2014-04-15;2014-04-15;Fizična oseba 57 let
U5YZT81VABL024088;HYUNDAI ix35 / 2.0 / CRDi LP;2010;1;kovinski - RJAVA - TEMNA;Dizel;D4HA;100 kW;1995 ccm;EURO 5;2010-06-03;2010-06-03;Pravna oseba
U5YZT81VABL024088;HYUNDAI ix35 / 2.0 / CRDi LP;2010;1;kovinski - RJAVA - TEMNA;Dizel;D4HA;100 kW;1995 ccm;EURO 5;2010-06-03;2010-06-03;Pravna oseba
LBMC25D0500013066;PIAGGIO ZIP 25 4T /;None;1;navaden - SIVA - SREDNJA;Bencin;C25DM;1 kW;50 ccm;ni podatka;2017-05-31;2017-05-31;Fizična oseba 61 let
VSSZZZ6LZ5R004198;SEAT CORDOBA / 1.9 / SDI;2004;4;kovinski - MODRA - SVETLA;Dizel;ASY;47 kW;1896 ccm;EURO 3;2004-10-28;2004-10-28;Fizična oseba 40 let
LXMAEA106GX019152;SYM CROX / 25;None;1;navaden - MODRA - TEMNA;Bencin;XS1P37QMA-2;1 kW;49 ccm;ni podatka;2018-09-07;2018-09-07;Fizična oseba 31 let
ZDCAF49A0XF554384;HONDA-I X8R;None;2;None;None;None;/ kW;/ ccm;ni podatka;2002-04-01;2002-04-26 UVOŽEN;49 let
VF1JL000657737681;RENAULT TRAFIC / 1.6 / DCI;None;1;navaden - SIVA - SREDNJA;Dizel;R9M D4;92 kW;1598 ccm;EURO 6;2017-05-12;2017-05-12;Pravna oseba
TEC2T/0068471;PIAGGIO PIAGGIO TYPHOON 50;1999;99;kovinski - ČRNA - SREDNJA;Mešanica;TEC1M;3 kW;49 ccm;ni podatka;2002-04-26;2002-04-26;Fizična oseba 36 let
ZY2005005R1000147;TPV PA 20KS /;1995;3;kovinski - SIVA - SREDNJA;Ni goriva;None;/ kW;/ ccm;ni podatka;1995-09-26;1995-09-26;Fizična oseba 62 let
WV2ZZZ7HZKH033668;VOLKSWAGEN MULTIVAN / 2.0 / TDI AUT.;None;1;navaden - BELA - TEMNA;Dizel;CXF;110 kW;1968 ccm;EURO 6;2019-07-12;2019-07-12;Pravna oseba
VF1BB0A0F21242449;RENAULT RENAULT / CLIO RTA 1,2 5V;1999;5;navaden - RDEČA - SREDNJA;Bencin;D7FD7;43 kW;1149 ccm;EURO 2;1999-10-06;1999-10-06;Fizična oseba 20 let
WF0LXXGCBLBL18552;FORD FOCUS / 1.6 / TDCi 95 DPF M6 S;2011;1;kovinski - SIVA - SVETLA;Dizel;T3DB;70 kW;1560 ccm;EURO 5;2011-11-02;2014-12-08 UVOŽEN;Fizična oseba 39 let
VF15R0G0H49550151;RENAULT CLIO / 1.2 / 16V;None;1;kovinski - RDEČA - SREDNJA;Bencin;D4F D7;54 kW;1149 ccm;EURO 5;2014-01-21;2014-01-21;Fizična oseba 45 let
RFGHU05WX8S403358;SYM MIO /;2010;2;navaden - BELA - TEMNA;Bencin;DA;2 kW;49 ccm;ni podatka;2010-06-23;2010-06-23;Fizična oseba 69 let
VF1RFA00156005609;RENAULT SCENIC / 1.2 / 16V;None;1;navaden - BELA - SREDNJA;Bencin;H5F F4;97 kW;1197 ccm;EURO 6;2016-12-09;2016-12-09;Pravna oseba
WVWZZZ3CZCE713024;VOLKSWAGEN CC / 2.0 / TDI AUT.;2012;1;navaden - BELA - SREDNJA;Dizel;CFF;103 kW;1968 ccm;EURO 5;2012-04-13;2017-11-17 UVOŽEN;Pravna oseba
VF1R9800862365212;RENAULT CLIO / 0.9 / TCE;None;1;navaden - BELA - SREDNJA;Bencin;H4B B4;56 kW;898 ccm;EURO 6;2019-02-28;2019-02-28;Fizična oseba 41 let
SJNFEAJ11U2158482;NISSAN QASHQAI / 1.2 /;None;1;navaden - BELA - TEMNA;Bencin;HRA2;85 kW;1197 ccm;EURO 6;2018-05-29;2018-05-29;Pravna oseba
WDB9340421L519037;MERCEDES BENZ ACTROS 1841 LS/NR;None;1;navaden - RDEČA - SREDNJA;Dizel;OM 501 LA.V/3;300 kW;11946 ccm;EURO 5;2010-10-20;2017-09-30 UVOŽEN;Pravna oseba
WDB9340421L614812;MERCEDES BENZ ACTROS 1841 LS/NR;None;1;navaden - RDEČA - SREDNJA;Dizel;OM 501 LA.V/3;300 kW;11946 ccm;EURO 5;2011-10-21;2017-12-21 UVOŽEN;Pravna oseba
WDB9340421L615613;MERCEDES BENZ ACTROS 1841 LS/NR;2011;1;navaden - RDEČA - SREDNJA;Dizel;OM 501 LA.V/3;300 kW;11946 ccm;EURO 5;2011-10-26;2017-12-19 UVOŽEN;Pravna oseba
WDB9340321L608456;MERCEDES BENZ ACTROS 1844 LS-18 / EEV;None;1;kovinski - MODRA - SREDNJA;Dizel;OM 501 LA.EEV/4;320 kW;11946 ccm;EURO 5;2011-10-20;2017-08-25 UVOŽEN;Pravna oseba
WKESDP27071302720;KRONE SDP27 / 6340/1310/1310;2006;1;navaden - BELA - TEMNA;Ni goriva;None;-1 kW;-1 ccm;ni podatka;2006-12-20;2006-12-20;Pravna oseba
WDB9340321L503561;MERCEDES BENZ ACTROS 1844 LS;2010;1;navaden - ČRNA - SREDNJA;Dizel;OM 501 LA V/4;320 kW;11946 ccm;EURO 5;2010-09-14;2017-03-24 UVOŽEN;Pravna oseba
WDB9340421L334824;MERCEDES BENZ ACTROS 1844 LS /;2008;1;navaden - RUMENA - TEMNA;None;None;/ kW;/ ccm;EURO 5;2008-05-13;2014-05-21 UVOŽEN;Pravna oseba
476885;TOMOS APN 6;2002;3;navaden - RUMENA - SREDNJA;Bencin;4G;2 kW;49 ccm;ni podatka;2002-04-29;2002-04-29;Fizična oseba 70 let
WVWZZZ1KZ9M324739;VOLKSWAGEN GOLF / VARIANT 1.9 / TDI;2009;2;navaden - BELA - SREDNJA;Dizel;BXE;77 kW;1896 ccm;EURO 4;2009-04-29;2012-06-26 UVOŽEN;Pravna oseba
