"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"KTM", "", "", "81456769", "KOVINSKI - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "133093", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "003612", "KOVINSKI - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "C7E2T/0102689", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7E1T-2340847", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7V4T*048817*", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "074385", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "221A24DA IN C00730458", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00837921", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00523539", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A250AB00410400", "NAVADEN - RUMENA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC2400000012758", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00838889", "NAVADEN - ČRNA", "07.04.2017"
"SAMBO", "", "", "BN100078", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "44173218", "NAVADEN - ČRNA", "07.04.2017"
"GILERA", "", "", "MOO459969", "SREBRNA", "07.04.2017"
"YAMAHA", "", "", "VG5SA144000067656", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00841423", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "092785", "KOVINSKI - SIVA", "07.04.2017"
"TOMOS", "", "", "045853", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAE01839640", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "CA3265898", "NAVADEN - ČRNA", "07.04.2017"
"GARELLI", "", "", "497607", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "0221866", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "2303984", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A340AA00626454", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A250AA00386993", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00412910", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "SIM3T", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "0064144", "KOVINSKI - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A250AA00202322", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "4916DGM43760S", "NAVADEN - ZELENA", "07.04.2017"
"TOMOS", "", "", "A24D-AA", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "DGM509480M", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00523421", "KOVINSKI - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00837951", "KOVINSKI - SIVA", "07.04.2017"
"ROG", "", "", "159631", "NAVADEN - BELA", "07.04.2017"
"ORION", "", "", "8617186", "KOVINSKI - ZELENA", "07.04.2017"
"TOMOS", "", "", "075004", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00625877", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00838005", "KOVINSKI - SIVA", "07.04.2017"
"PIAGGIO", "", "", "C7E4T505539", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A2YDAA00839459", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC030000001559", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "2336595", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "1668732", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "OM19800EST22097C", "KOVINSKI - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "2183447", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00520830", "NAVADEN - RJAVA", "07.04.2017"
"TOMOS", "", "", "4411081", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "EEV2T31128", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00411820", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410689", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA0625938", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "0461537", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "236935", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00730462", "KOVINSKI - RDEČA", "07.04.2017"
"TOMOS", "", "", "520892", "KOVINSKI - SIVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410454", "NAVADEN - MODRA", "07.04.2017"
"SOLEX", "", "", "17216", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "056209", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "178339", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "9559795", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA008", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00307034", "NAVADEN - ČRNA", "07.04.2017"
"YIYING", "", "", "LD5TCBPA06D105187", "NAVADEN - VIJOLIČNA", "07.04.2017"
"TOMOS", "", "", "479296", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAE0189633", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "TALL*032978*", "KOVINSKA KREM BEŽ DRAP", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00523937", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "787276", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "5551569", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00732048", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00839073", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "0195870", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00734019", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "0460734", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "560524", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "1659031 OZ. 789363", "NAVADEN - ZELENA", "07.04.2017"
"TOMOS", "", "", "237065", "KOVINSKI - BELA", "07.04.2017"
"PIAGGIO", "", "", "N13CZ10701", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "237065", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "190518", "NAVADEN - VIJOLIČNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00520613", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC0600000023895", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAB00308661", "NAVADEN - RUMENA", "07.04.2017"
"PIAGGIO", "", "", "C7E2T097301", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00840298", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00735390", "NAVADEN - SIVA", "07.04.2017"
"GILERA", "", "", "ZAPC1400003005610", "KOVINSKI - VIJOLIČNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00731988", "SREBRNA", "07.04.2017"
"OSTALO", "", "", "LWGZDMLQ960005169", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAE01838400", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00734521", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "CZE4T136288", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "C7E4T", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00731980", "NAVADEN - SIVA", "07.04.2017"
"OSTALO", "", "", "GH 584467", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "1207778", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00523550", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "DGM52805-S", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00731859", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00732373", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00731963", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "N12YY10201", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00731985", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00413774", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "236820", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00521886", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "221A25DAA00411303", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "1623144", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00413762", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00734379", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00625625", "KOVINSKI - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00521945", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00626661", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "040825", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "2336595", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "Z21A25DAA00410620", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "221A25DAA00410456", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "0M19800EST22097", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1ADAB00308662", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00623493", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "025333", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC3120001002753", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAAC00529850", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "SIVIT 23877706", "NAVADEN - MODRA", "07.04.2017"
"SOLEX", "", "", "TRHS3800CXAO13787", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00731521", "KOVINSKI - SIVA", "07.04.2017"
"PEDA", "", "", "LLPTCBA28AA19908", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "C7V4T/068545", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "ZZZ1A25DAA00410568", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00307084", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00412952", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00626468", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A240AA00731475", "KOVINSKI - RDEČA", "07.04.2017"
"TOMOS", "", "", "477278", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "221A26DAF00523431", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DA00732348", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "1/4638 N12Y2910201", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA004100880", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "0353392", "KOVINSKI - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "C7E4T", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC 2400000003441", "KOVINSKI - ČRNA", "07.04.2017"
"ZONGSHEN", "", "", "LZSTCBPD0560098857", "KOVINSKI - RDEČA", "07.04.2017"
"TOMOS", "", "", "535138", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00625547", "KOVINSKI - SIVA", "07.04.2017"
"PEUGEOT", "", "", "VGAL1ACCA000833266", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "676836", "KOVINSKI - RDEČA", "07.04.2017"
"TOMOS", "", "", "040846", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00411799", "NAVADEN - MODRA", "07.04.2017"
"APRILIA", "", "", "ZD4VLA00X7S001498", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "C7E3T1035239", "NAVADEN - RJAVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00306343", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAC00521969", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "VSI TIPI", "", "001405", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00413072", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00636483", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "E12*92/61*0012*02", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC3120001002501", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410951", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "C7E4T094755", "KOVINSKI - RDEČA", "07.04.2017"
"APRILIA", "", "", "9156", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "2503433", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "246658", "NAVADEN - MODRA", "07.04.2017"
"JMSTAR", "", "", "LJ4LY5FC18J007144", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA0012949", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAB00410382", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A243DAA00413172", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "537739", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "221A25BAA00411321", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "048955", "KOVINSKI - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "SSP2T3009601", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410467", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00202296", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00625589", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "234966", "NAVADEN - ZELENA", "07.04.2017"
"TOMOS", "", "", "9692813", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "272549", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "052073", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "270207", "NAVADEN - RUMENA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC2200000043764", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "2540909", "KOVINSKI - BELA", "07.04.2017"
"SOLEX", "", "", "TRHS3800CMYA16757", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "459604", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAAQA00625953", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "001238", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "BR01 DGM47761", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "033869", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "221A25DAA0037010", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "DGM 35718 S", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "C32100", "NAVADEN - ČRNA", "07.04.2017"
"GILERA", "", "", "ZAPC1400003083858", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "356230", "KOVINSKI - SIVA", "07.04.2017"
"PIAGGIO", "", "", "142445", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA004100602", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1AZ4DA000946594", "KOVINSKI - SIVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00B63568", "SREBRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00945401", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "410637", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00B67631", "NAVADEN - RUMENA", "07.04.2017"
"SOLEX", "", "", "TRHS3800CXA013413", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A240AA00E73565", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7E210290917", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410647", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "TEC 1T/0265371", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "771A25DAA00411241", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "2591761", "ZLATA", "07.04.2017"
"TOMOS", "", "", "053503", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "LBMC25DD70008334", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "D40317801D", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00306348", "KOVINSKI - SIVA", "07.04.2017"
"TOMOS", "", "", "053492", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "124707N11F210201", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7EIT/2469527", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410650", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "045953", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "C7E4T45449", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "1509223", "KOVINSKI - RDEČA", "07.04.2017"
"YAMAHA", "", "", "VG55BR00003535773", "NAVADEN - MODRA", "07.04.2017"
"SOLEX", "", "", "CMYA16975", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00B63568", "SREBRNA", "07.04.2017"
"SOLEX", "", "", "TRHS3800CMYA16573", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00204167", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "LBMC250400071879", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "053750", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00308578", "NAVADEN - RDEČA", "07.04.2017"
"ROG", "", "", "ZZ1A25DAA00410619", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00625595", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "SIM3T036227", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00411807", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "SSP2T3009609", "KOVINSKA KREM BEŽ DRAP", "07.04.2017"
"TOMOS", "", "", "090059", "NAVADEN - RUMENA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00839071", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "C7EZT0413302", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "613 381", "KOVINSKI - BELA", "07.04.2017"
"PIAGGIO", "", "", "055104", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "022952", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00411312", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00411735", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAS00523949", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "DGM 35718S 4916 DGM43760S", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "221A24DAC00838946", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "047506", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "099793", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "A356DAC5", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "464795", "NAVADEN - MODRA", "07.04.2017"
"OSTALO", "", "", "LLCLYD1C64100094", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00731445", "NAVADEN - SIVA", "07.04.2017"
"TOMOS", "", "", "ZZ1A26DAF00523919", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410728", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00307082", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "532366", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "C7V4T*07422*", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "C7E2T/0337716", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00308563", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "031830", "KOVINSKI - BELA", "07.04.2017"
"OSTALO", "", "", "K165687", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "1472.", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "2493533", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "032149", "KOVINSKI - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "1043628", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "2305.", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "003793", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7E3T/011638", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "001417", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "634352", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "033886", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA0030858", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "C7E1T", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "PXE10451595", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "127086", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "295771", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7E4T162594", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "C7E2T0463339", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "583570", "KOVINSKI - SIVA", "07.04.2017"
"TOMOS", "", "", "001547", "NAVADEN - RDEČA", "07.04.2017"
"PIAGGIO", "", "", "158570", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "555040", "NAVADEN - BELA", "07.04.2017"
"PIAGGIO", "", "", "OM19800", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "055591", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "015452", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7A2T0474032", "KOVINSKI - BELA", "07.04.2017"
"PIAGGIO", "", "", "056952", "KOVINSKI - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00B67394", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "028670", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00203250", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00410683", "SREBRNA", "07.04.2017"
"PIAGGIO", "", "", "C7V4046843", "NAVADEN - ZELENA", "07.04.2017"
"PIAGGIO", "", "", "ZAPC0500000001464", "KOVINSKI - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "DGM 18842 OM", "KOVINSKI - MODRA", "07.04.2017"
"TOMOS", "", "", "ZZ1A34DAA00A60158", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "11279", "NAVADEN - ORANŽNA", "07.04.2017"
"TOMOS", "", "", "ZZ1A24DAA00A56517", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "2710.", "KOVINSKI - MODRA", "07.04.2017"
"PIAGGIO", "", "", "C7E2T/0413676", "NAVADEN - SIVA", "07.04.2017"
"PIAGGIO", "", "", "C7E1T 2429152", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1AZ4DAA", "NAVADEN - BELA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00307103", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "074413", "KOVINSKI - ČRNA", "07.04.2017"
"TOMOS", "", "", "053454", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "290398", "NAVADEN - RDEČA", "07.04.2017"
"OSTALO", "", "", "2900209876179", "KOVINSKI - BELA", "07.04.2017"
"OSTALO", "", "", "U70164656", "NAVADEN - MODRA", "07.04.2017"
"TOMOS", "", "", "827154", "NAVADEN - RDEČA", "07.04.2017"
"TOMOS", "", "", "ZZ1A25DAA00411719", "NAVADEN - RUMENA", "07.04.2017"
"PIAGGIO", "", "", "C7E2T/0261771", "NAVADEN - ORANŽNA", "07.04.2017"
"PIAGGIO", "", "", "53212582649", "NAVADEN - MODRA", "07.04.2017"
"PIAGGIO", "", "", "194063", "NAVADEN - VIJOLIČNA", "07.04.2017"
"TOMOS", "", "", "459061", "NAVADEN - SIVA", "07.04.2017"
"SOLEX", "", "", "TRHS3800CXA013289", "NAVADEN - ČRNA", "07.04.2017"
"TOMOS", "", "", "597466", "SREBRNA", "07.04.2017"
"HONDA", "", "", "VTMAF37T0TE003109", "NAVADEN - ČRNA", "07.04.2017"
"PIAGGIO", "", "", "178462", "NAVADEN - MODRA", "07.04.2017"
"OSTALO", "", "", "TLG3607011000143", "NAVADEN - RDEČA", "07.04.2017"
